Name,Date,Space Complexity,Tags,Time Complexity,Topic 1
130. Surrounded Regions,,,,,"Graphs (https://www.notion.so/Graphs-24ffa7ea1c9780778b41e6cc99e4a126?pvs=21), BFS (https://www.notion.so/BFS-250fa7ea1c978063bce7ceb737b253a5?pvs=21), DFS (https://www.notion.so/DFS-254fa7ea1c9780e39e36e71d4ffa61fe?pvs=21)"
133. Clone Graph,,,,,Graphs (https://www.notion.so/Graphs-24ffa7ea1c9780778b41e6cc99e4a126?pvs=21)
136. Single Number,,,,,Bit manipulation (https://www.notion.so/Bit-manipulation-2cffa7ea1c97808dab19e86f1ff784b3?pvs=21)
138. Copy List with Random Pointer,,,Revision needed,,Linked List (https://www.notion.so/Linked-List-24cfa7ea1c9780f681b6e0bdf57a9475?pvs=21)
141. Linked List Cycle,,,,,"Linked List (https://www.notion.so/Linked-List-24cfa7ea1c9780f681b6e0bdf57a9475?pvs=21), Two pointers (https://www.notion.so/Two-pointers-24efa7ea1c9780bab20ac18ec2de97f7?pvs=21)"
142. Linked List Cycle II,,,Revision needed,,"Linked List (https://www.notion.so/Linked-List-24cfa7ea1c9780f681b6e0bdf57a9475?pvs=21), Two pointers (https://www.notion.so/Two-pointers-24efa7ea1c9780bab20ac18ec2de97f7?pvs=21)"
143. Reorder List,,,,,"Linked List (https://www.notion.so/Linked-List-24cfa7ea1c9780f681b6e0bdf57a9475?pvs=21), Two pointers (https://www.notion.so/Two-pointers-24efa7ea1c9780bab20ac18ec2de97f7?pvs=21)"
144. Binary Tree Preorder Traversal,,,,,"Binary Tree (https://www.notion.so/Binary-Tree-24efa7ea1c97805bbedafd06ca62e083?pvs=21), DFS (https://www.notion.so/DFS-254fa7ea1c9780e39e36e71d4ffa61fe?pvs=21)"
145. Binary Tree Postorder Traversal,,,,,"DFS (https://www.notion.so/DFS-254fa7ea1c9780e39e36e71d4ffa61fe?pvs=21), Binary Tree (https://www.notion.so/Binary-Tree-24efa7ea1c97805bbedafd06ca62e083?pvs=21)"
150. Evaluate Reverse Polish Notation,,,,,Stacks (https://www.notion.so/Stacks-2cffa7ea1c9780db86d7e9c7a1314167?pvs=21)
155. Min Stack,,,Revision needed,,Stacks (https://www.notion.so/Stacks-2cffa7ea1c9780db86d7e9c7a1314167?pvs=21)
169. Majority Element,,,,,Hashmaps (https://www.notion.so/Hashmaps-24cfa7ea1c9780ff9acdce67a3e02651?pvs=21)
179. Largest Number,,,Revision needed,,
189. Rotate Array,,,,,Two pointers (https://www.notion.so/Two-pointers-24efa7ea1c9780bab20ac18ec2de97f7?pvs=21)
191. Number of 1 Bits,,,,,Bit manipulation (https://www.notion.so/Bit-manipulation-2cffa7ea1c97808dab19e86f1ff784b3?pvs=21)
199. Binary Tree Right Side View,,,,,"Binary Tree (https://www.notion.so/Binary-Tree-24efa7ea1c97805bbedafd06ca62e083?pvs=21), BFS (https://www.notion.so/BFS-250fa7ea1c978063bce7ceb737b253a5?pvs=21)"
202. Happy Number,,,,,Math (https://www.notion.so/Math-2cffa7ea1c978076a4d4f4dcac76dc5b?pvs=21)
203. Remove Linked List Elements,,,,,Linked List (https://www.notion.so/Linked-List-24cfa7ea1c9780f681b6e0bdf57a9475?pvs=21)
208. Implement Trie (Prefix Tree),,,Revision needed,,
209. Minimum Size Subarray Sum,,,Revision needed,,
215. Kth Largest Element in an Array,,,,,Heaps (https://www.notion.so/Heaps-24dfa7ea1c9780f6927adb0e7f9469b7?pvs=21)
217. Contains Duplicate,,,,,Hashmaps (https://www.notion.so/Hashmaps-24cfa7ea1c9780ff9acdce67a3e02651?pvs=21)
222. Count Complete Tree Nodes,,,,,Binary Tree (https://www.notion.so/Binary-Tree-24efa7ea1c97805bbedafd06ca62e083?pvs=21)
287. Find the Duplicate Number,,,Revision needed,,Two pointers (https://www.notion.so/Two-pointers-24efa7ea1c9780bab20ac18ec2de97f7?pvs=21)
295. Find Median from Data Stream,,,Revision needed,,Heaps (https://www.notion.so/Heaps-24dfa7ea1c9780f6927adb0e7f9469b7?pvs=21)
297. Serialize and Deserialize Binary Tree,,,Revision needed,,Binary Tree (https://www.notion.so/Binary-Tree-24efa7ea1c97805bbedafd06ca62e083?pvs=21)
300. Longest Increasing Subsequence,,,Revision needed,,Dynamic Programming (https://www.notion.so/Dynamic-Programming-23cfa7ea1c9780eca734e4972c76b74a?pvs=21)
304. Range Sum Query 2D - Immutable,,,Revision needed,,Prefix Sum (https://www.notion.so/Prefix-Sum-24efa7ea1c97802e8800e09de7c5e440?pvs=21)
377. Combination Sum IV,,,Revision needed,,Dynamic Programming (https://www.notion.so/Dynamic-Programming-23cfa7ea1c9780eca734e4972c76b74a?pvs=21)
406. Queue Reconstruction by Height,,,Revision needed,,
